rule_id,target_entity,source_entity,attribute_name,qualified_attribute_name
3. belongs-to-target-backward-by-attribute,QuestionnaireItem,QuestionnaireItem,part_of,QuestionnaireItem.part_of
3. belongs-to-target-backward-by-attribute,QuestionnaireItem,QuestionnaireResponseItem,has_questionnaire_item,QuestionnaireResponseItem.has_questionnaire_item
3. belongs-to-target-backward-by-attribute,QuestionnaireItem,SdohObservation,related_questionnaire_item,SdohObservation.related_questionnaire_item
3. belongs-to-target-backward-by-attribute,ResearchStudy,Participant,member_of_research_study,Participant.member_of_research_study
3. belongs-to-target-backward-by-attribute,ResearchStudy,ResearchStudy,part_of,ResearchStudy.part_of
2. belongs-to-target-backward-by-entity,ImagingStudy,ImagingFile,related_imaging_study,ImagingFile.related_imaging_study
2. belongs-to-target-backward-by-entity,Organization,DimensionalObservation,performed_by,DimensionalObservation.performed_by
2. belongs-to-target-backward-by-entity,Organization,DimensionalObservationSet,performed_by,DimensionalObservationSet.performed_by
2. belongs-to-target-backward-by-entity,Organization,MeasurementObservation,performed_by,MeasurementObservation.performed_by
2. belongs-to-target-backward-by-entity,Organization,MeasurementObservationSet,performed_by,MeasurementObservationSet.performed_by
2. belongs-to-target-backward-by-entity,Organization,Observation,performed_by,Observation.performed_by
2. belongs-to-target-backward-by-entity,Organization,ObservationSet,performed_by,ObservationSet.performed_by
2. belongs-to-target-backward-by-entity,Organization,Participant,originating_site,Participant.originating_site
2. belongs-to-target-backward-by-entity,Organization,SdohObservation,performed_by,SdohObservation.performed_by
2. belongs-to-target-backward-by-entity,Organization,SdohObservationSet,performed_by,SdohObservationSet.performed_by
2. belongs-to-target-backward-by-entity,Organization,SpecimenCreationActivity,performed_by,SpecimenCreationActivity.performed_by
2. belongs-to-target-backward-by-entity,Organization,SpecimenQualityObservation,performed_by,SpecimenQualityObservation.performed_by
2. belongs-to-target-backward-by-entity,Organization,SpecimenQuantityObservation,performed_by,SpecimenQuantityObservation.performed_by
2. belongs-to-target-backward-by-entity,Organization,SpecimenTransportActivity,transport_destination,SpecimenTransportActivity.transport_destination
2. belongs-to-target-backward-by-entity,Organization,SpecimenTransportActivity,transport_origin,SpecimenTransportActivity.transport_origin
2. belongs-to-target-backward-by-entity,Participant,Condition,associated_participant,Condition.associated_participant
2. belongs-to-target-backward-by-entity,Participant,Demography,associated_participant,Demography.associated_participant
2. belongs-to-target-backward-by-entity,Participant,DeviceExposure,associated_participant,DeviceExposure.associated_participant
2. belongs-to-target-backward-by-entity,Participant,DimensionalObservation,associated_participant,DimensionalObservation.associated_participant
2. belongs-to-target-backward-by-entity,Participant,DimensionalObservationSet,associated_participant,DimensionalObservationSet.associated_participant
2. belongs-to-target-backward-by-entity,Participant,DrugExposure,associated_participant,DrugExposure.associated_participant
2. belongs-to-target-backward-by-entity,Participant,Exposure,associated_participant,Exposure.associated_participant
2. belongs-to-target-backward-by-entity,Participant,File,associated_participant,File.associated_participant
2. belongs-to-target-backward-by-entity,Participant,ImagingFile,associated_participant,ImagingFile.associated_participant
2. belongs-to-target-backward-by-entity,Participant,ImagingStudy,associated_participant,ImagingStudy.associated_participant
2. belongs-to-target-backward-by-entity,Participant,MeasurementObservation,associated_participant,MeasurementObservation.associated_participant
2. belongs-to-target-backward-by-entity,Participant,MeasurementObservationSet,associated_participant,MeasurementObservationSet.associated_participant
2. belongs-to-target-backward-by-entity,Participant,Observation,associated_participant,Observation.associated_participant
2. belongs-to-target-backward-by-entity,Participant,ObservationSet,associated_participant,ObservationSet.associated_participant
2. belongs-to-target-backward-by-entity,Participant,Procedure,associated_participant,Procedure.associated_participant
2. belongs-to-target-backward-by-entity,Participant,SdohObservation,associated_participant,SdohObservation.associated_participant
2. belongs-to-target-backward-by-entity,Participant,SdohObservationSet,associated_participant,SdohObservationSet.associated_participant
2. belongs-to-target-backward-by-entity,Participant,Specimen,source_participant,Specimen.source_participant
2. belongs-to-target-backward-by-entity,Participant,SpecimenQualityObservation,associated_participant,SpecimenQualityObservation.associated_participant
2. belongs-to-target-backward-by-entity,Participant,SpecimenQuantityObservation,associated_participant,SpecimenQuantityObservation.associated_participant
2. belongs-to-target-backward-by-entity,Participant,Visit,associated_participant,Visit.associated_participant
2. belongs-to-target-backward-by-entity,Person,Participant,associated_person,Participant.associated_person
2. belongs-to-target-backward-by-entity,Visit,Condition,associated_visit,Condition.associated_visit
2. belongs-to-target-backward-by-entity,Visit,Demography,associated_visit,Demography.associated_visit
2. belongs-to-target-backward-by-entity,Visit,DeviceExposure,associated_visit,DeviceExposure.associated_visit
2. belongs-to-target-backward-by-entity,Visit,DimensionalObservation,associated_visit,DimensionalObservation.associated_visit
2. belongs-to-target-backward-by-entity,Visit,DimensionalObservationSet,associated_visit,DimensionalObservationSet.associated_visit
2. belongs-to-target-backward-by-entity,Visit,DrugExposure,associated_visit,DrugExposure.associated_visit
2. belongs-to-target-backward-by-entity,Visit,Exposure,associated_visit,Exposure.associated_visit
2. belongs-to-target-backward-by-entity,Visit,ImagingStudy,associated_visit,ImagingStudy.associated_visit
2. belongs-to-target-backward-by-entity,Visit,MeasurementObservation,associated_visit,MeasurementObservation.associated_visit
2. belongs-to-target-backward-by-entity,Visit,MeasurementObservationSet,associated_visit,MeasurementObservationSet.associated_visit
