BDCHM Element	Variable Label	var_name	status	Data Type	UCUM Unit	Ontology CURIE	OMOP Concept ID	Deprecated Codes	Variable Description
MeasurementObservation	8-epi-PGF2a in urine	isoprostane_8_epi_pgf2a		decimal	pg/mL	OBA:2100046	OMOP:3011888		Concentration of 8-epi-prostaglandin F2 alpha in urine
MeasurementObservation	Activity LP-PLA2 in blood	lppla2_act		decimal	nmol/min/mL	OBA:2100055	OMOP:36305170		Measurement of the activity of the Lp-PLA2 (lipoprotein-associated phospholipase A2) enzyme in serum or plasma.
MeasurementObservation	AHI Apnea-Hypopnea Index	apnea_hypop_index		decimal	/h		OMOP:37396400		Measurement used to diagnose and assess the severity of sleep apnea. It is calculated by counting the number of apneas and hypopneas that occur per hour of sleep.
MeasurementObservation	Albumin creatinine ratio in urine	albumin_creatinine		decimal	mg/g{creat}	OBA:2100053	OMOP:4154347		Measurement of the ratio of albumin to creatinine in urine. Also known as uACR.
MeasurementObservation	Albumin in blood	albumin_bld		decimal	g/dL	OBA:2050068	OMOP:2212186		Measurement of albumin in blood serum
MeasurementObservation	Albumin in urine	albumin_urine		decimal	mg/L	OBA:VT0002871	OMOP:2212188		Concentration of albumin in urine
MeasurementObservation	Alcohol Consumption	alcohol_servings		integer	{#}/wk		OMOP:35609491		Servings of alcohol consumed per week
MeasurementObservation	ALT SGPT	alt_sgpt		decimal	[IU]/L	OBA:2050062	OMOP:4146380		Concentration of ALT/SGPT in the blood. ALT, or alanine transaminase, is the same as SGPT, which stands for serum glutamic-pyruvic transaminase. Typically measured in serum or plasma.
Condition	Angina	angina		Uriorcurie			OMOP:321318		
DrugExposure	Aspirin	aspirin		Uriorcurie			OMOP:1112807		
MeasurementObservation	AST SGOT	ast_sgot		decimal	[IU]/L	OBA:2100047	OMOP:4263457		Concentration of AST/SGOT in blood. AST (aspartate aminotransferase), also known as SGOT (Serum Glutamic Oxaloacetic Transaminase), is typically measured in serum or plasma.
Condition	Asthma	asthma		Uriorcurie			OMOP:4308356		
Condition	Atrial fibrillation	afib		Uriorcurie			OMOP:313217		
MeasurementObservation	Basophils Count	basophil_ncnc_bld		decimal	10*3/uL	OBA:VT0002607	OMOP:3006315		Concentration of basophil cells in whole blood
MeasurementObservation	Bilirubin Conjugated Direct	bilirubin_con		decimal	mg/dL		OMOP:44805650		Concentration of conjugated (or direct) bilirubin in blood, typically measured in serum or plasma
MeasurementObservation	Bilirubin Total	bilirubin_tot		decimal	mg/dL		OMOP:4230543		Concentration of total bilirubin in blood, typically measured in serum or plasma
MeasurementObservation	BMI	bmi		decimal	kg/m2	OBA:2045455	OMOP:3038553		Also known as body mass index: ratio of a person's weight in kilos to the square of their height in meters
MeasurementObservation	BNP	bnp		decimal	pg/mL	OBA:2045303	OMOP:4307029		Concentration of BNP in blood, typically measured in plasma or whole blood. Also known as B-type natriuretic peptide, a hormone.
MeasurementObservation	Body weight	bdy_wgt		decimal	kg	OBA:VT0001259	OMOP:4099154		Mass of a person or other organism
